isOver	title	series	month	day	year	ends	location	country	website	twitter
	International Conference on Functional Programming 2020	ICFP	August	24	2020	8/26/20	Hyatt Regency, Jersey City, New Jersey	USA	https://icfp19.sigplan.org/home/icfp-2020	
	Programming Language Design and Implementation 2019	PLDI	June	15	2020	6/20/20	Royal Geographical Society, London, UK	UK	https://conf.researchr.org/home/pldi-2020	
	History of Programming Languages IV	HOPL	June	14	2020	6/16/20	Royal Geographical Society, London, UK	UK	https://hopl4.sigplan.org/	
	Systems, Programming, Languages and Applications: Software for Humanity 2019	SPLASH	October	20	2019	10/25/19	Athens, Greece	Greece	https://conf.researchr.org/home/splash-2019	
x	Strange Loop 2019	StangeLoop	September	12	2019	9/14/19	Stifel Theatre, St. Louis, MO, USA	USA	https://www.thestrangeloop.com/	
x	International Conference on Functional Programming 2019	ICFP	August	19	2019	8/21/19	Berlin, Germany	Germany	https://icfp19.sigplan.org/	
x	Second International Summer School on Metaprogramming	ISSMP	August	11	2019	8/16/19	Schloss Dagstuhl, Germany	Germany	https://www.cl.cam.ac.uk/events/metaprog/2019/	
x	Balisage: The Markup Conference 2019	Balisage	July	29	2019	8/2/19	Rockville, Maryland, USA	USA	http://www.balisage.net/	
x	RacketCon 2019	RacketCon	July	13	2019	7/14/19	University of Utah, Salt Lake City, Utah, USA	USA	https://con.racket-lang.org/	
x	Programming Language Design and Implementation 2019	PLDI	June	24	2019	6/26/19	Phoenix, AZ, USA	USA	https://pldi19.sigplan.org/home	
x	Oregon Programming Languages Summer School 2019	OPLSS	June	17	2019	6/29/19	Eugene, OR, USA	USA	https://www.cs.uoregon.edu/research/summerschool/summer19/	
x	Principles of Programming Languages 2019	POPL	January	13	2019	1/19/19	Lisbon, Portugal	Portugal	https://popl19.sigplan.org/	
x	Code Mesh 2018	CodeMesh	November	8	2018	11/9/18	London, UK	UK	https://codesync.global/conferences/code-mesh-2018/	codemeshio
x	Systems, Programming, Languages and Applications: Software for Humanity 2018	SPLASH	November	4	2018	11/9/18	Boston, MA, USA	USA	https://conf.researchr.org/track/splash-2018/splash-2018-OOPSLA	
x	International Conference on Functional Programming 2018	ICFP	October	23	2018	10/29/18	St. Louis, Missouri, USA	USA	https://conf.researchr.org/home/icfp-2018	
x	Strange Loop 2018	StangeLoop	September	26	2018	9/28/18	St. Louis, MO, USA	USA	https://www.thestrangeloop.com/	
x	Programming Language Design and Implementation 2018	PLDI	June	18	2018	6/22/18	Philadelphia, PA, USA	USA	http://pldi18.sigplan.org/	
x	CRAFT 2018	CRAFT	May	8	2018	5/11/18	Budapest	Hungary	https://craft-conf.com/	
x	Principles of Programming Languages 2018	POPL	January	10	2018	1/12/18	Los Angeles, CA, USA	USA	https://popl18.sigplan.org/	
x	Code Mesh 2017	CodeMesh	November	7	2017	11/9/17	London, UK	UK	http://www.codemesh.io/	codemeshio
x	Systems, Programming, Languages and Applications: Software for Humanity 2017	SPLASH	October	22	2017	10/27/17	Vancouver, Canada	Canada	https://2017.splashcon.org/	
x	Strange Loop 2017	StangeLoop	September	28	2017	9/30/17	Peabody Opera House, St. Louis, MO, USA	USA	https://www.thestrangeloop.com/	
x	History of Programming Languages III	HOPL	June	9	2007	6/10/07	San Diego, CA, USA	USA	http://research.ihost.com/hopl/HOPL-III.html	
